,precision,recall,f1-score,support
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.9830508474576272,0.9508196721311475,0.9666666666666667,61.0
Rolls-Royce Ghost Sedan 2012,0.922077922077922,0.922077922077922,0.922077922077922,77.0
Rolls-Royce Phantom Sedan 2012,0.9090909090909091,0.9090909090909091,0.9090909090909091,88.0
Scion xD Hatchback 2012,0.9876543209876543,0.963855421686747,0.975609756097561,83.0
Spyker C8 Convertible 2009,0.9885057471264368,0.9555555555555556,0.9717514124293786,90.0
Spyker C8 Coupe 2009,0.9761904761904762,0.9647058823529412,0.9704142011834319,85.0
Suzuki Aerio Sedan 2007,0.9726027397260274,0.9342105263157895,0.9530201342281879,76.0
Suzuki Kizashi Sedan 2012,0.925531914893617,0.9456521739130435,0.935483870967742,92.0
Suzuki SX4 Hatchback 2012,0.8837209302325582,0.9047619047619048,0.8941176470588236,84.0
Suzuki SX4 Sedan 2012,0.8409090909090909,0.9135802469135802,0.8757396449704142,81.0
Tesla Model S Sedan 2012,0.9615384615384616,0.974025974025974,0.967741935483871,77.0
Toyota Sequoia SUV 2012,0.974025974025974,0.974025974025974,0.974025974025974,77.0
Toyota Camry Sedan 2012,0.8777777777777778,0.9080459770114943,0.8926553672316384,87.0
Toyota Corolla Sedan 2012,0.961038961038961,0.8505747126436781,0.9024390243902438,87.0
Toyota 4Runner SUV 2012,0.9512195121951219,0.9629629629629629,0.9570552147239264,81.0
Volkswagen Golf Hatchback 2012,0.9746835443037974,0.8953488372093024,0.9333333333333332,86.0
Volkswagen Golf Hatchback 1991,1.0,0.9891304347826086,0.994535519125683,92.0
Volkswagen Beetle Hatchback 2012,0.9634146341463414,0.9294117647058824,0.9461077844311377,85.0
Volvo C30 Hatchback 2012,0.9487179487179487,0.891566265060241,0.9192546583850931,83.0
Volvo 240 Sedan 1993,0.9885057471264368,0.945054945054945,0.9662921348314606,91.0
Volvo XC90 SUV 2007,0.9325842696629213,0.9651162790697675,0.9485714285714285,86.0
smart fortwo Convertible 2012,0.9871794871794872,0.9625,0.9746835443037976,80.0
accuracy,0.9419130866034344,0.9419130866034344,0.9419130866034344,0.9419130866034344
macro avg,0.9434136123281155,0.9417747019270918,0.9419301954084064,16131.0
weighted avg,0.943513311940099,0.9419130866034344,0.9420685279628871,16131.0
